,coef,abs coef,% total,cum % total,coef OR
EpiDISH_BPRNACan_M0,-0.23358286724636843,0.23358286724636843,1.0,1.0,0.7916919876869141
EpiDISH_BPRNACan_B,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_cancer,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_CD4,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_CD8,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_M1,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_M2,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_Mono,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_Neu,0.0,0.0,0.0,1.0,1.0
EpiDISH_BPRNACan_NK,0.0,0.0,0.0,1.0,1.0
SEX,0.0,0.0,0.0,1.0,1.0
